Aircraft,Origin,Type,Variant,In service,Notes,Combat Aircraft,AEW&CS,Reconnaissance,Tanker,Transport,Helicopters,Trainer Aircraft,UAV
Dassault Rafale,France,Multirole,DH,8[1],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EH,28[1],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HAL Tejas,India,Multirole,Mk.1,31[2][3],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Conversion trainer,Mk.1 Trainer,4[4][5],Used for training; 14 more on order[6],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Multirole,Mk.1A,,"73 on order, 97 more approved[6][7]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sukhoi Su-30MKI,Russia,Multirole,Su-30MKI Flanker H,259[8][9],12 more on order.[10],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mikoyan MiG-29,Soviet Union,Multirole,Fulcrum,52[1][11][12],Including 12MiG-29UPG.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fulcrum B,7[1],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dassault Mirage 2000,France,Multirole,-2000H,37[1],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-2000TH,10[1],Used for training.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SEPECAT Jaguar,United Kingdom,Attack,IB,28[1],Used for training.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IS,79[1],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IM,8[1],Maritime strike aircraft carryingSea Eaglemissile.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mikoyan-Gurevich MiG-21,Soviet Union,Interceptor,MiG-21Bison,40[13],Being phased out.[14],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Embraer R-99,Brazil,AEW&C,Netra Mk1,3[15],equipped with aNetra AEW&CS.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beriev A-50,Soviet Union,AEW&C,A-50EI,3[15],equipped with theEL/W-2090radar. 2 more planned.[16][17],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Boeing 707,United States,SIGINT/ELINT,707-337C Phalcon,1[15],Operated byAviation Research Centre(ARC) ofR&AW.[18][19],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Global 5000,United States,SIGINT/ELINT,,2[15],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gulfstream III,United States,ELINT,SRA[20],3[15],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Boeing 737,United States,SIGINT/ELINT,737-700,2[15],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gulfstream G100,Israel,surveillance,1125 Astra,2[15],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ilyushin Il-78,Soviet Union,aerial refuelling,Il-78MKI,6[15],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Boeing 777,United States,VIP transport,777-300ER,2[21],Used asAir India Onefor presidential flight,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Embraer Legacy 600,Brazil,VIP transport,,4[22],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Boeing C-17,United States,strategic airlifter,,11[15],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ilyushin Il-76,Soviet Union,strategic airlifter,Il-76MD,17[15],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C-130J Super Hercules,United States,tactical airlifter,C-130J-30[23],12[15],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Airbus A321,Europe,transport,A321-200,4[15],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antonov An-32,Soviet Union,tactical airlifter,,103[15],53 are the32REvariant[24],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EADS CASA C-295,Spain,tactical airlifter,C-295W,6[25],50 more on order â€”HS 748replacement[26],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawker Siddeley HS 748,United Kingdom,tactical airlifter,,56[15],To be replaced byEADS CASA C-295,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dornier Do 228,Germany,tactical airlifter,228-201,61[15],license built byHAL[27],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Boeing AH-64,United States,attack,AH-64E,22[15],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mil Mi-24,Russia,attack,Mi-25/35,15[15],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HAL Prachand,India,attack,,10[28],66 on order[29],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HAL Rudra,India,attack,,16,50 on order.[30],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CH-47 Chinook,United States,transport,CH-47F,15[15],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mil Mi-17,Russia,utility,Mi-17V-5,222[15],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HAL Dhruv,India,utility,,95[15],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HAL Light Utility Helicopter,India,utility,,,6 on order[31],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alouette III,France/India,liaison,Chetak,79[15],license-built byHAL. A fleet of around 120 aircraft.[32],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cheetal,18[33],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SA 315B Lama,France/India,utility,Cheetah,18[15],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BAE Hawk,United Kingdom,Advanced trainer,Hawk 132,102[15],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HAL Kiran,India,Intermediate trainer,,77[15],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HAL HTT-40,India,Basic trainer,,,70 + 36 on order[15],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pilatus PC-7,Switzerland,Basic trainer,Mk II,74[15],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pipistrel Virus,Slovenia,Ab initio trainer,,72[34][35],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IAI Heron,Israel,Surveillance,Mk 1,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mk 2,4,[36][37]2 on order[38],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IAI Searcher,Mk 1/2,,[39],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MQ-9 Reaper,United States,Surveillance/Combat,SkyGuardian,0,8 on order[40],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALS-50,India,loitering munition,,100[41],,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KadetLoitering Aerial Munition,,50+ on order,Developed byDRDOandKDSMultiple variants; Weight - 15 to 120 kg; Warhead - 2 to 40 kg; Max. Endurance - 12 hrs; Max. Range - 150 to 300 km; Canister launched and vertical take-off and landing (VTOL) variants[42][43],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
